NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Annual Tide Predictions
StationName: La Jolla 
State: CA 
Stationid: 9410230
Prediction Type: Harmonic
From: 20220101 04:18 - 20221231 19:27
Units: Feet and Centimeters
Time Zone: GMT
Datum: MLLW
Interval Type: High/Low

Date 		Day	Time	Pred(Ft)	Pred(cm)	High/Low
2022/01/01	Sat	04:18	3.61		110			H
2022/01/01	Sat	08:45	1.93		59			L
2022/01/01	Sat	15:11	6.84		208			H
2022/01/01	Sat	22:35	-1.75		-53			L
2022/01/02	Sun	05:07	3.76		115			H
2022/01/02	Sun	09:36	1.93		59			L
2022/01/02	Sun	15:58	7.01		214			H
2022/01/02	Sun	23:20	-1.94		-59			L
2022/01/03	Mon	05:54	3.86		118			H
2022/01/03	Mon	10:26	1.91		58			L
2022/01/03	Mon	16:45	6.96		212			H
2022/01/04	Tue	00:06	-1.87		-57			L
2022/01/04	Tue	06:40	3.92		119			H
2022/01/04	Tue	11:16	1.92		59			L
2022/01/04	Tue	17:32	6.67		203			H
2022/01/05	Wed	00:51	-1.58		-48			L
2022/01/05	Wed	07:27	3.96		121			H
2022/01/05	Wed	12:10	1.98		60			L
2022/01/05	Wed	18:21	6.15		187			H
2022/01/06	Thu	01:36	-1.13		-34			L
2022/01/06	Thu	08:16	4.02		123			H
2022/01/06	Thu	13:09	2.08		63			L
2022/01/06	Thu	19:10	5.44		166			H
2022/01/07	Fri	02:21	-0.55		-17			L
2022/01/07	Fri	09:07	4.10		125			H
2022/01/07	Fri	14:19	2.18		66			L
2022/01/07	Fri	20:05	4.62		141			H
2022/01/08	Sat	03:06	0.07		2			L
2022/01/08	Sat	10:01	4.22		129			H
2022/01/08	Sat	15:45	2.17		66			L
2022/01/08	Sat	21:11	3.80		116			H
2022/01/09	Sun	03:53	0.70		21			L
2022/01/09	Sun	10:55	4.39		134			H
2022/01/09	Sun	17:27	1.92		59			L
2022/01/09	Sun	22:41	3.12		95			H
2022/01/10	Mon	04:42	1.29		39			L
2022/01/10	Mon	11:47	4.58		140			H
2022/01/10	Mon	18:59	1.41		43			L
2022/01/11	Tue	00:36	2.79		85			H
2022/01/11	Tue	05:35	1.77		54			L
2022/01/11	Tue	12:34	4.78		146			H
2022/01/11	Tue	20:04	0.84		26			L
2022/01/12	Wed	02:16	2.83		86			H
2022/01/12	Wed	06:30	2.13		65			L
2022/01/12	Wed	13:15	4.99		152			H
2022/01/12	Wed	20:51	0.32		10			L
2022/01/13	Thu	03:24	3.01		92			H
2022/01/13	Thu	07:22	2.34		71			L
2022/01/13	Thu	13:53	5.20		158			H
2022/01/13	Thu	21:28	-0.09		-3			L
2022/01/14	Fri	04:09	3.18		97			H
2022/01/14	Fri	08:07	2.41		73			L
2022/01/14	Fri	14:29	5.40		165			H
2022/01/14	Fri	22:00	-0.41		-12			L
2022/01/15	Sat	04:42	3.31		101			H
2022/01/15	Sat	08:47	2.39		73			L
2022/01/15	Sat	15:03	5.60		171			H
2022/01/15	Sat	22:30	-0.63		-19			L
2022/01/16	Sun	05:10	3.40		104			H
2022/01/16	Sun	09:22	2.30		70			L
2022/01/16	Sun	15:36	5.76		176			H
2022/01/16	Sun	23:00	-0.78		-24			L
2022/01/17	Mon	05:36	3.47		106			H
2022/01/17	Mon	09:56	2.19		67			L
2022/01/17	Mon	16:09	5.87		179			H
2022/01/17	Mon	23:29	-0.84		-26			L
2022/01/18	Tue	06:03	3.52		107			H
2022/01/18	Tue	10:29	2.10		64			L
2022/01/18	Tue	16:42	5.89		180			H
2022/01/18	Tue	23:59	-0.82		-25			L
2022/01/19	Wed	06:31	3.56		109			H
2022/01/19	Wed	11:03	2.03		62			L
2022/01/19	Wed	17:15	5.80		177			H
2022/01/20	Thu	00:28	-0.72		-22			L
2022/01/20	Thu	07:00	3.62		110			H
2022/01/20	Thu	11:40	2.01		61			L
2022/01/20	Thu	17:49	5.57		170			H
2022/01/21	Fri	00:58	-0.52		-16			L
2022/01/21	Fri	07:32	3.70		113			H
